ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2018;NOV;ETANOL ANIDRO;EXPORTAÇÃO;101970,008;53375333
2018;OUT;ETANOL ANIDRO;EXPORTAÇÃO;151881,998;76300141
2018;SET;ETANOL ANIDRO;EXPORTAÇÃO;103778,667;48483293
2018;ABR;ETANOL ANIDRO;IMPORTAÇÃO;387681,583;163659605
2018;AGO;ETANOL ANIDRO;IMPORTAÇÃO;47607,976;19892661
2018;DEZ;ETANOL ANIDRO;IMPORTAÇÃO;174533,533;72633484
2018;FEV;ETANOL ANIDRO;IMPORTAÇÃO;163350,274;70278312
2018;JAN;ETANOL ANIDRO;IMPORTAÇÃO;164574,255;73060194
2018;JUL;ETANOL ANIDRO;IMPORTAÇÃO;133541,913;55115312
2018;JUN;ETANOL ANIDRO;IMPORTAÇÃO;59524,449;24966625
2018;MAI;ETANOL ANIDRO;IMPORTAÇÃO;103293,634;43148140
2018;MAR;ETANOL ANIDRO;IMPORTAÇÃO;314395,2;130208029
2018;NOV;ETANOL ANIDRO;IMPORTAÇÃO;139384,75;55327065
2018;OUT;ETANOL ANIDRO;IMPORTAÇÃO;47671,291;17998322
2018;SET;ETANOL ANIDRO;IMPORTAÇÃO;1608,192;744959
2018;ABR;ETANOL HIDRATADO;EXPORTAÇÃO;12144,352;7064709
2018;AGO;ETANOL HIDRATADO;EXPORTAÇÃO;80912,706;39303454
2018;DEZ;ETANOL HIDRATADO;EXPORTAÇÃO;52861,62;25320924
2018;FEV;ETANOL HIDRATADO;EXPORTAÇÃO;1132,127;1032205
2018;JAN;ETANOL HIDRATADO;EXPORTAÇÃO;49989,776;25075488
2018;JUL;ETANOL HIDRATADO;EXPORTAÇÃO;88913,83;44242600
2018;JUN;ETANOL HIDRATADO;EXPORTAÇÃO;49697,028;26813169
2018;MAI;ETANOL HIDRATADO;EXPORTAÇÃO;14208,38;7211199
2018;MAR;ETANOL HIDRATADO;EXPORTAÇÃO;18902,87;9401975
2018;NOV;ETANOL HIDRATADO;EXPORTAÇÃO;45899,871;23476997
2018;OUT;ETANOL HIDRATADO;EXPORTAÇÃO;127495,427;63267895
2018;SET;ETANOL HIDRATADO;EXPORTAÇÃO;73263,72;35889986
2018;ABR;ETANOL HIDRATADO;IMPORTAÇÃO;4672,855;1822546
2018;AGO;ETANOL HIDRATADO;IMPORTAÇÃO;2,483;19995
2018;DEZ;ETANOL HIDRATADO;IMPORTAÇÃO;1,374;12169
2018;FEV;ETANOL HIDRATADO;IMPORTAÇÃO;0,984;8600
2018;JAN;ETANOL HIDRATADO;IMPORTAÇÃO;25,284;45958
2018;JUL;ETANOL HIDRATADO;IMPORTAÇÃO;8906,868;3628718
2018;JUN;ETANOL HIDRATADO;IMPORTAÇÃO;9247,978;3767705
2018;MAI;ETANOL HIDRATADO;IMPORTAÇÃO;0,822;5019
2018;MAR;ETANOL HIDRATADO;IMPORTAÇÃO;11176,018;4983006
2018;NOV;ETANOL HIDRATADO;IMPORTAÇÃO;26,181;83354
2018;OUT;ETANOL HIDRATADO;IMPORTAÇÃO;49,644;151864
2018;SET;ETANOL HIDRATADO;IMPORTAÇÃO;4054,781;1718938
2019;ABR;ETANOL ANIDRO;EXPORTAÇÃO;180,91;196685
2019;AGO;ETANOL ANIDRO;EXPORTAÇÃO;219168,973;113434201
2019;DEZ;ETANOL ANIDRO;EXPORTAÇÃO;72724,402;38533782
2019;FEV;ETANOL ANIDRO;EXPORTAÇÃO;89186,139;53012913
2019;JAN;ETANOL ANIDRO;EXPORTAÇÃO;55364,358;29075903
2019;JUL;ETANOL ANIDRO;EXPORTAÇÃO;150977,598;74879051
2019;JUN;ETANOL ANIDRO;EXPORTAÇÃO;128048,823;65612135
2019;MAI;ETANOL ANIDRO;EXPORTAÇÃO;117730,695;60026677
2019;MAR;ETANOL ANIDRO;EXPORTAÇÃO;101929,827;55755192
