ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO
1997;MAR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;148192
1997;ABR;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;147592
1997;MAI;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;138203
1997;JUN;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;149381
1997;JUL;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;152182
1997;AGO;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;148850
1997;SET;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;154934
1997;OUT;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;168604
1997;NOV;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;164478
1997;DEZ;REGIÃO NORDESTE;BAHIA;GÁS NATURAL;TERRA;158216
1997;JAN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;50891
1997;FEV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;48632
1997;MAR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;50528
1997;ABR;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;50588
1997;MAI;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;44179
1997;JUN;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;51965
1997;JUL;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;54155
1997;AGO;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;50355
1997;SET;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;28450
1997;OUT;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;24764
1997;NOV;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;23857
1997;DEZ;REGIÃO NORTE;AMAZONAS;GÁS NATURAL;TERRA;51362
1997;JAN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;FEV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;MAR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;ABR;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;MAI;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;JUN;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;JUL;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;AGO;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;SET;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;OUT;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;NOV;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;DEZ;REGIÃO SUDESTE;SÃO PAULO;GÁS NATURAL;TERRA;0
1997;JAN;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;83
1997;FEV;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;75
1997;MAR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;78
1997;ABR;REGIÃO NORDESTE;CEARÁ;GÁS NATURAL;TERRA;71
